img_path,label
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-42.088277_converted.png,188.0026595556563
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-42.154771_converted.png,188.0026595556563
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-42.337883_converted.png,190.0026315607234
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-42.384754_converted.png,191.01047091717248
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-42.744629_converted.png,187.0106948813356
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-42.822751_converted.png,196.0
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-42.932116_converted.png,192.00260414900626
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-43.150449_converted.png,199.04019694524018
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-43.197325_converted.png,200.06249023742558
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-43.244197_converted.png,198.04039991880444
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-43.573149_converted.png,193.00259065618783
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-43.658382_converted.png,195.00256408570633
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-43.877121_converted.png,199.0628041598932
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-44.088428_converted.png,197.0913493789111
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-44.182173_converted.png,208.0600874747485
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-44.213421_converted.png,210.11663427725088
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-44.244674_converted.png,206.03883129157958
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-44.400915_converted.png,205.08778608196053
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-44.463403_converted.png,204.0612653102004
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-44.650380_converted.png,206.0606706773517
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-45.181870_converted.png,208.1177551291576
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-45.213117_converted.png,208.1177551291576
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-45.509972_converted.png,206.03883129157958
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-45.541223_converted.png,205.0609665440988
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-45.572468_converted.png,202.03960007879644
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.180952_converted.png,208.0600874747485
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.253727_converted.png,207.06037766796427
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.300599_converted.png,207.03864373589778
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.656795_converted.png,205.00975586542216
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.697470_converted.png,205.0219500443794
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.759965_converted.png,206.00970850908945
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.838084_converted.png,208.00961516237658
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.900580_converted.png,201.00995000248122
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-46.978702_converted.png,203.19940944796076
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-47.416639_converted.png,203.15757431117353
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-47.463511_converted.png,205.11947737842937
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-47.526007_converted.png,205.15603817582362
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-47.822546_converted.png,207.24140512938047
K:\Data\2020-12-03\debayered_images_cropped_augmented_180degree\iteration_0_30grad\BayerRG8_20-12-03_14-27-47.994411_converted.png,206.11889772653063
